name,phone,website,email,founder,district,source,email_source
Crystal Proje Yatırım A.Ş.,+90 540 658 53 30,,servis@crystalprojeyat.org.tr,Can Korkmaz,Adalar,Generated Database,Generated
Bizim Sales İnş. San. Tic. Ltd. Şti.,+90 530 799 82 63,https://www.bizimsalesinssa.com.tr,satis@bizimsalesinssa.com.tr,Ayşe Doğan,Adalar,Generated Database,Generated
Beyoğlu Danışmanlık San. Tic. A.Ş.,+90 530 369 67 42,,mudur@beyogludanisman.info.tr,,Adalar,Generated Database,Generated
Platinum Yatırım İnş. San. Tic. Ltd. Şti.,+90 543 785 43 62,https://www.platinumyatirim.com.tr,contact@platinumyatirim.com.tr,Ayşe Kara,Adalar,Generated Database,Generated
Next Gayrimenkul Gayrimenkul A.Ş.,+90 534 438 48 49,https://www.nextas.org.tr,general@nextas.org.tr,,Adalar,Generated Database,Generated
River Proje İnş. San. Tic. Ltd. Şti.,+90 543 105 25 59,,office1@riverprojeinsst.com,,Adalar,Generated Database,Generated
Forest Yuva Consulting Ltd. Şti.,+90 212 871 27 39,https://www.forestyuvaconsu.com.tr,support@forestyuvaconsu.com.tr,Tülay Güler,Adalar,Generated Database,Generated
Endüstri Satış Ltd.,+90 538 788 88 35,https://www.endustrisatis.net.tr,support@endustrisatis.net.tr,,Adalar,Generated Database,Generated
Innovation Our Project Yatırım A.Ş.,+90 531 804 46 40,https://www.innovationourpr.info.tr,info@innovationourpr.info.tr,,Adalar,Generated Database,Generated
Nehir Kiralama,+90 547 282 54 42,,sales@nehirkiralama.org.tr,Abdullah Işık,Adalar,Generated Database,Generated
Valley Proje A.Ş.,+90 540 397 69 79,,musteri@valleyprojeas.net.tr,İbrahim Korkmaz,Adalar,Generated Database,Generated
Nehir Proje A.Ş.,+90 531 145 18 77,https://www.nehirprojeas.com,musteri@nehirprojeas.com,Erkan Koç,Adalar,Generated Database,Generated
Sağlam Real Estate İnş. San. Tic. Ltd. Şti.,+90 216 605 71 21,https://www.saglaminssantic.org.tr,ofis.ist@saglaminssantic.org.tr,,Adalar,Generated Database,Generated
Superior Rental A.Ş.,+90 544 479 12 61,,bilgi@superiorrentala.info.tr,İbrahim Koç,Adalar,Generated Database,Generated
Prima Geliştirme A.Ş.,+90 548 889 44 11,,mudur1@primagelistirme.com.tr,Hasan Öztürk,Adalar,Generated Database,Generated
Select Trust Emlak A.Ş.,+90 212 677 31 15,,genel@selecttrustas.com,Mustafa Aslan,Adalar,Generated Database,Generated
Taksim Konsultant İnşaat Ltd. Şti.,+90 549 654 86 74,https://www.taksimkonsultan.com.tr,istanbul.director@taksimkonsultan.com.tr,Efe Şahin,Adalar,Generated Database,Generated
Digital Geliştirme İnş. San. Tic. Ltd. Şti.,+90 542 984 45 35,https://www.digitalgelistir.com,contact@digitalgelistir.com,,Adalar,Generated Database,Generated
Marmara Halk Yatırım Ltd.,+90 541 209 91 83,,musteri.tr@marmarahalkyati.org.tr,Erkan Polat,Adalar,Generated Database,Generated
Korporat Bosphorus Kiralama,+90 212 729 45 91,https://www.korporatbosphor.info.tr,bilgi.ist@korporatbosphor.info.tr,Fatih Polat,Adalar,Generated Database,Generated
